id,name,postcode,region,metro,delivery_id/id,state_id/id
res_city_584,Smithfield,2164,South Western Suburbs,Sydney,delivery_zone_exclude,base.state_au_2
res_city_585,South Coogee,2034,Eastern Suburbs,Sydney,delivery_zone_exclude,base.state_au_2
res_city_586,South Granville,2142,Western Suburbs,Sydney,delivery_zone_2,base.state_au_2
res_city_587,South Hurstville,2221,St George & Sutherland Shire,Sydney,delivery_zone_exclude,base.state_au_2
res_city_588,South Maroota,2756,Outer Western Suburbs,Sydney,delivery_zone_exclude,base.state_au_2
res_city_589,South Penrith,2750,Outer Western Suburbs,Sydney,delivery_zone_exclude,base.state_au_2
res_city_590,South Turramurra,2074,North Shore,Sydney,delivery_zone_1,base.state_au_2
res_city_591,South Wentworthville,2145,Western Suburbs,Sydney,delivery_zone_exclude,base.state_au_2
res_city_592,South Windsor,2756,Outer Western Suburbs,Sydney,delivery_zone_exclude,base.state_au_2
res_city_593,Spit Junction,2088,North Shore,Sydney,delivery_zone_free,base.state_au_2
res_city_594,Spring Farm,2570,Macarthur Region,Sydney,delivery_zone_exclude,base.state_au_2
res_city_595,St Andrews,2566,Macarthur Region,Sydney,delivery_zone_exclude,base.state_au_2
res_city_596,St Clair,2759,Outer Western Suburbs,Sydney,delivery_zone_exclude,base.state_au_2
res_city_597,St Helens Park,2560,Macarthur Region,Sydney,delivery_zone_exclude,base.state_au_2
res_city_598,St Ives,2075,North Shore,Sydney,delivery_zone_1,base.state_au_2
res_city_599,St Ives Chase,2075,North Shore,Sydney,delivery_zone_1,base.state_au_2
res_city_600,St Johns Park,2176,South Western Suburbs,Sydney,delivery_zone_exclude,base.state_au_2
res_city_601,St Leonards,2065,North Shore,Sydney,delivery_zone_free,base.state_au_2
res_city_602,St Marys,2760,Outer Western Suburbs,Sydney,delivery_zone_exclude,base.state_au_2
res_city_603,St Peters,2044,Central & Inner Metropolitan,Sydney,delivery_zone_free,base.state_au_2
res_city_604,Stanhope Gardens,2768,Outer Western Suburbs,Sydney,delivery_zone_exclude,base.state_au_2
res_city_605,Stanmore,2048,Central & Inner Metropolitan,Sydney,delivery_zone_free,base.state_au_2
res_city_606,Strathfield,2135,Western Suburbs,Sydney,delivery_zone_1,base.state_au_2
res_city_607,Strathfield South,2136,Western Suburbs,Sydney,delivery_zone_1,base.state_au_2
res_city_608,Summer Hill,2130,Western Suburbs,Sydney,delivery_zone_free,base.state_au_2
res_city_609,Surry Hills,2010,Central & Inner Metropolitan,Sydney,delivery_zone_free,base.state_au_2
res_city_610,Sutherland,2232,St George & Sutherland Shire,Sydney,delivery_zone_exclude,base.state_au_2
res_city_611,Sydenham,2044,Central & Inner Metropolitan,Sydney,delivery_zone_free,base.state_au_2
res_city_612,Sydney,2000,Central & Inner Metropolitan,Sydney,delivery_zone_free,base.state_au_2
res_city_613,Sydney Olympic Park,2127,Western Suburbs,Sydney,delivery_zone_exclude,base.state_au_2
res_city_614,Sylvania,2224,St George & Sutherland Shire,Sydney,delivery_zone_exclude,base.state_au_2
res_city_615,Sylvania Waters,2224,St George & Sutherland Shire,Sydney,delivery_zone_exclude,base.state_au_2
res_city_616,Tamarama,2026,Eastern Suburbs,Sydney,delivery_zone_exclude,base.state_au_2
res_city_617,Taren Point,2229,St George & Sutherland Shire,Sydney,delivery_zone_exclude,base.state_au_2
res_city_618,Telopea,2117,Gladesville-Ryde-Eastwood,Sydney,delivery_zone_2,base.state_au_2
res_city_619,Tempe,2044,Central & Inner Metropolitan,Sydney,delivery_zone_2,base.state_au_2
res_city_620,Tennyson Point,2111,Gladesville-Ryde-Eastwood,Sydney,delivery_zone_1,base.state_au_2
res_city_621,Terrey Hills,2084,North Shore,Sydney,delivery_zone_free,base.state_au_2
res_city_622,The Ponds,2769,Outer Western Suburbs,Sydney,delivery_zone_exclude,base.state_au_2
res_city_623,The Rocks,2000,Central & Inner Metropolitan,Sydney,delivery_zone_free,base.state_au_2
res_city_624,Thornleigh,2120,Gladesville-Ryde-Eastwood,Sydney,delivery_zone_1,base.state_au_2
res_city_625,Toongabbie,2146,Western Suburbs,Sydney,delivery_zone_exclude,base.state_au_2
res_city_626,Tregear,2770,Outer Western Suburbs,Sydney,delivery_zone_exclude,base.state_au_2
res_city_627,Turramurra,2074,North Shore,Sydney,delivery_zone_1,base.state_au_2
res_city_628,Turrella,2205,South Western Suburbs,Sydney,delivery_zone_exclude,base.state_au_2
res_city_629,Ultimo,2007,Central & Inner Metropolitan,Sydney,delivery_zone_free,base.state_au_2
res_city_630,Varroville,2566,Macarthur Region,Sydney,delivery_zone_exclude,base.state_au_2
